videoId,channelId,channelTitle,publishTime,title,description,thumbnail_default,thumbnail_medium,thumbnail_high,liveBroadcastContent
nGsIEZgG3pY,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-12-18T18:09:44Z,รักต่างวัย กับ จิตวิทยาความรัก,รักต่างวัย เป็นความสัมพันธ์ที่พบได้เยอะในปัจจุบัน หลาย ๆ ครั้งอาจจะตามมาด้วยปัญหา เช่น สายตาสังคม การสื่อสารระหว่างกัน ...,https://i.ytimg.com/vi/nGsIEZgG3pY/default.jpg,https://i.ytimg.com/vi/nGsIEZgG3pY/mqdefault.jpg,https://i.ytimg.com/vi/nGsIEZgG3pY/hqdefault.jpg,none
sCmj46ypAwY,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-12-13T13:21:21Z,ทำไมถึง.. ร้องไห้โดยไม่มีสาเหตุ,การร้องไห้เป็นพฤติกรรมหนึ่งที่คนแสดงออกเมื่อเสียใจ แต่หลาย ๆ ครั้งเรากลับไม่รู้สาเหตุว่าเพราะอะไรเราถึงร้องไห้ การร้องไห้โดยไม่มีสาเหตุ ...,https://i.ytimg.com/vi/sCmj46ypAwY/default.jpg,https://i.ytimg.com/vi/sCmj46ypAwY/mqdefault.jpg,https://i.ytimg.com/vi/sCmj46ypAwY/hqdefault.jpg,none
Orav3d6KQiI,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-12-04T18:18:30Z,ชุดปฐมพยาบาลทางอารมณ์ Emotional First Aid,Alljit Podcast วันนี้มากับ หนังสือจิตวิทยาพัฒนาตัวเองที่เป็นเหมือนชุดปฐมพยาบาลทางอารมณ์เบื้องต้นสำหรับบรรเทาอาการแตกสลาย ...,https://i.ytimg.com/vi/Orav3d6KQiI/default.jpg,https://i.ytimg.com/vi/Orav3d6KQiI/mqdefault.jpg,https://i.ytimg.com/vi/Orav3d6KQiI/hqdefault.jpg,none
DdGb0kqizLs,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-11-07T14:32:00Z,ความเปลี่ยนแปลง เราไม่รู้ว่าต้องเผชิญกับอะไรบ้าง,ความเปลี่ยนแปลงเกิดได้ทุกวัน ทุกเวลา แต่ไม่ง่ายที่จะยอมรับ เพราะหลาย ๆ ครั้ง ความเปลี่ยนแปลงมักมาพร้อมการเริ่มต้นใหม่ ...,https://i.ytimg.com/vi/DdGb0kqizLs/default.jpg,https://i.ytimg.com/vi/DdGb0kqizLs/mqdefault.jpg,https://i.ytimg.com/vi/DdGb0kqizLs/hqdefault.jpg,none
9Ztr7QdOe5w,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-10-06T16:15:51Z,เปลี่ยนแฟนบ่อย ไม่ใช่เรื่องผิด ? หรือต้องทนอยู่กับความสัมพันธ์ที่ไม่ใช่,การเปลี่ยนคู่รักหลายครั้งมักถูกสังคมมองว่าเป็นเรื่องที่ไม่ดี แต่ถ้าไม่ตัดสินใจเลิกรา แน่นอนว่าอีกทางเลือกหนึ่งคือการทนอยู่กับความสัมพันธ์เดิม ...,https://i.ytimg.com/vi/9Ztr7QdOe5w/default.jpg,https://i.ytimg.com/vi/9Ztr7QdOe5w/mqdefault.jpg,https://i.ytimg.com/vi/9Ztr7QdOe5w/hqdefault.jpg,none
SKaaz9-4RAc,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-09-28T17:14:43Z,คนหัวร้อน ในทางจิตวิทยากับอารมณ์ ขี้โมโห ขี้เหวี่ยง ขี้วีน,ขี้โมโห ขี้เหวี่ยง ขี้วีน จริง ๆ แล้วความโกรธเป็นอารมณ์พื้นฐานอย่างหนึ่งที่แสดงออกมาได้ในหลากหลายรูปแบบ แต่ไม่ง่ายเลยที่จะรับมือ เมื่อเราโกรธ ...,https://i.ytimg.com/vi/SKaaz9-4RAc/default.jpg,https://i.ytimg.com/vi/SKaaz9-4RAc/mqdefault.jpg,https://i.ytimg.com/vi/SKaaz9-4RAc/hqdefault.jpg,none
okZOzODhiu8,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-09-21T13:41:05Z,“Toxic People” ความ Toxic ในมุมมองทางการแพทย์,Toxic People” ความ Toxic ในมุมมองทางการแพทย์ จริง ๆ แล้วเป็นเรื่องปกติหรือไม่ มีสาเหตุมาจากอะไร ในการใช้ชีวิตประจำวัน… บางครั้งก็คนอื่น ...,https://i.ytimg.com/vi/okZOzODhiu8/default.jpg,https://i.ytimg.com/vi/okZOzODhiu8/mqdefault.jpg,https://i.ytimg.com/vi/okZOzODhiu8/hqdefault.jpg,none
GrdCX18PpRg,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-09-17T14:48:46Z,ชีวิตดีขึ้นด้วยการ คิด วิเคราะห์ แยกแยะ Critical Thinking,Critical Thinking หลาย ๆ คนมักจะเรียกรวบ ๆ ว่า คิด วิเคราะห์ แยกแยะ จริง ๆ แล้ว Critical Thinking คืออะไร จะพัฒนาตัวเองอย่างไรให้มี Critical ...,https://i.ytimg.com/vi/GrdCX18PpRg/default.jpg,https://i.ytimg.com/vi/GrdCX18PpRg/mqdefault.jpg,https://i.ytimg.com/vi/GrdCX18PpRg/hqdefault.jpg,none
zRVpXBYXfVA,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-09-10T13:41:22Z,คราบน้ำตา ซ่อนในรอยยิ้ม Smiling Depression,ข้างนอกสดใส ข้างในฮือฮือ” เป็นประโยคหนึ่งที่ใช้อธิบายคำว่า Smiling Depression จริง ๆ แล้ว Smiling Depression คืออะไร ...,https://i.ytimg.com/vi/zRVpXBYXfVA/default.jpg,https://i.ytimg.com/vi/zRVpXBYXfVA/mqdefault.jpg,https://i.ytimg.com/vi/zRVpXBYXfVA/hqdefault.jpg,none
C8SakhQbMjU,UCKIEPfI9D32EnsP6oasduSg,Alljit สุขภาพจิตใจ,2023-08-29T17:16:37Z,ปรัชญาความสุข ฮุกกะ และ ลากอม,ืใคร ๆ ต่างก็อยากมีความสุข... แต่ในวันยาก ๆ การมีความสุขอาจไม่ใช่เรื่องง่าย แต่รู้หรือไม่ว่า.. ความสุขมีได้หลากหลายรูปแบบ ...,https://i.ytimg.com/vi/C8SakhQbMjU/default.jpg,https://i.ytimg.com/vi/C8SakhQbMjU/mqdefault.jpg,https://i.ytimg.com/vi/C8SakhQbMjU/hqdefault.jpg,none
